<Feature Name>,X,Y
S00,95.13234222? W,42.00511659? N
T01,95.09010062? W,41.95329458? N
T02,95.07577497? W,41.95616858? N
T03,95.06726608? W,41.95983955? N
T05,95.10466591? W,41.96052429? N
T06,95.08394858? W,41.95991704? N
T08,95.10583411? W,41.97032720? N
T09,95.08133079? W,41.97087173? N
T10,95.06246475? W,41.97383182? N
T11,95.04526492? W,41.97069793? N
T12,95.04235869? W,41.97740967? N
T14,95.04107331? W,41.98881698? N
T15,95.05122786? W,41.99137868? N
T16,95.09467622? W,41.98514416? N
T18,95.10069277? W,41.98173601? N
T20,95.13491678? W,41.97363114? N
T21,95.14311668? W,41.97477648? N
T22,95.15868285? W,41.97377576? N
T24,95.15282071? W,41.98463755? N
T25,95.18176110? W,41.98268504? N
T26,95.17813306? W,41.99290629? N
T27,95.17275748? W,41.99289261? N
T28,95.16206786? W,41.99282806? N
T29,95.15731709? W,41.99646161? N
T30,95.15250623? W,41.99653956? N
T31,95.13884982? W,41.99996017? N
T32,95.08357117? W,41.99612720? N
T33,95.07633498? W,41.99567765? N
T34,95.08626032? W,42.00642878? N
T35,95.06194582? W,41.99961843? N
T37,95.07033739? W,42.01362452? N
T38,95.06206363? W,42.01330273? N
T39,95.05008320? W,42.01614537? N
T40,95.16076194? W,42.01448977? N
T43,95.15361442? W,42.01708003? N
T44,95.14753325? W,42.01549632? N
T46,95.14405095? W,42.02152052? N
T49,95.09465273? W,42.01767038? N
T50,95.10071450? W,42.02017062? N
T52,95.09935663? W,42.03215341? N
T53,95.08075678? W,42.03221455? N
T54,95.06534785? W,42.03268172? N
T55,95.06075540? W,42.03259532? N
T56,95.04231120? W,42.02534471? N
T57,95.05009983? W,42.03782887? N
T59,95.03984858? W,42.04079356? N
T60,95.02095301? W,42.03750862? N
T65,95.10877754? W,42.04261581? N
T66,95.09791293? W,42.04361548? N
T68,95.09549703? W,42.05678780? N
T69,95.08883003? W,42.05499538? N
T80,95.12713000? W,42.02069511? N
T83,95.08020900? W,41.98396772? N
T84,95.07879059? W,42.01769129? N
T85,95.14366264? W,42.02932063? N
T86,95.13779477? W,42.04061090? N
T87,95.10394460? W,42.06312877? N
T88,95.09964696? W,42.06035016? N
T89,95.07933950? W,42.04468160? N
