<Feature Name>,X,Y
0,108.49329361? W,32.37582069? N
1,108.53155807? W,32.39037261? N
10,108.51572294? W,32.37331314? N
11,108.51553557? W,32.36886653? N
12,108.51598069? W,32.35886535? N
13,108.51646279? W,32.35442673? N
14,108.51665610? W,32.34929949? N
15,108.51667084? W,32.34409658? N
16,108.50545857? W,32.40923482? N
17,108.50356639? W,32.40383187? N
18,108.50181003? W,32.39852177? N
19,108.49860589? W,32.39430425? N
2,108.53467049? W,32.38325368? N
20,108.49687523? W,32.38923213? N
21,108.49762698? W,32.38432549? N
22,108.49678204? W,32.37928669? N
23,108.49635449? W,32.37398487? N
24,108.49688050? W,32.36878316? N
25,108.49707953? W,32.36310603? N
26,108.49528670? W,32.35889800? N
27,108.49828226? W,32.35004269? N
28,108.49864085? W,32.34538136? N
29,108.48464541? W,32.41074157? N
3,108.53401424? W,32.37708110? N
30,108.48409880? W,32.40592432? N
31,108.48353886? W,32.40120600? N
32,108.48068210? W,32.39583373? N
33,108.47899199? W,32.39015571? N
34,108.47139251? W,32.38281054? N
35,108.47414103? W,32.37798720? N
36,108.47226822? W,32.37406300? N
37,108.47686230? W,32.35493983? N
38,108.47752022? W,32.35007349? N
39,108.47987786? W,32.33899297? N
4,108.53423632? W,32.36773410? N
40,108.48143553? W,32.33414558? N
41,108.48363146? W,32.32950444? N
42,108.46657123? W,32.41284892? N
43,108.46656500? W,32.40829300? N
44,108.46698900? W,32.40421000? N
45,108.46633700? W,32.39974000? N
46,108.46554000? W,32.39510900? N
47,108.46182462? W,32.39053549? N
48,108.45377227? W,32.35291448? N
49,108.45909847? W,32.34366179? N
5,108.53482859? W,32.36300289? N
50,108.46367298? W,32.33293660? N
51,108.46506440? W,32.32894806? N
52,108.44105452? W,32.33977101? N
53,108.44368761? W,32.33527963? N
6,108.53429622? W,32.35809534? N
7,108.51674053? W,32.38777043? N
8,108.51594971? W,32.38327308? N
9,108.51499939? W,32.37878159? N
