<Feature Name>,X,Y
S0,93.40063433? W,36.25723845? N
T10,93.41071018? W,36.27964444? N
T11,93.40545441? W,36.27900629? N
T13,93.35904900? W,36.28361700? N
T14,93.42213179? W,36.27368872? N
T15,93.41828646? W,36.27016105? N
T17,93.38457510? W,36.27144538? N
T18,93.36848300? W,36.27777500? N
T19,93.36432200? W,36.27416800? N
T2,93.43481452? W,36.29534753? N
T20,93.35916800? W,36.27438500? N
T22,93.35566113? W,36.27025091? N
T23,93.41360381? W,36.26263961? N
T24,93.39288321? W,36.26754885? N
T25,93.38949400? W,36.26539700? N
T26,93.38493493? W,36.26306257? N
T27,93.37957222? W,36.26146776? N
T28,93.37597747? W,36.26046992? N
T29,93.37153641? W,36.26030315? N
T30,93.36712861? W,36.26077567? N
T31,93.36270805? W,36.26300670? N
T32,93.35774687? W,36.26365834? N
T33,93.35416141? W,36.26273921? N
T34,93.41528680? W,36.25553080? N
T35,93.40897239? W,36.25598079? N
T36,93.39490815? W,36.25517548? N
T37,93.39038905? W,36.25601992? N
T38,93.35160670? W,36.25953667? N
T39,93.40757200? W,36.23801500? N
T4,93.43092178? W,36.29534399? N
T40,93.40282152? W,36.23783280? N
T41,93.39545119? W,36.23917077? N
T42,93.39900200? W,36.22439100? N
T45,93.39206745? W,36.21698462? N
T46,93.38954222? W,36.21258105? N
T6,93.43232231? W,36.28557627? N
T8,93.42891449? W,36.27771410? N
